ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1001,Agric eggs medium size,Apr-24,April,2024,1680.51,3.66,83.58,Plateau ,2019.48,Gombe ,1371
1002,Agric eggs(medium size price of one),Apr-24,April,2024,150.85,1.98,71.09,Ogun ,168.78,Bauchi ,124.67
1003,"Beans brown,sold loose",Apr-24,April,2024,1387.9,12.44,125.43,Abuja ,2288.36,Yobe ,818.03
1004,Beans:white black eye. sold loose,Apr-24,April,2024,1313.48,10.17,124.75,Abuja ,2098.58,Yobe ,817.48
1005,Beef Bone in,Apr-24,April,2024,3821.74,8.25,102.5,Abuja ,5485.53,Katsina ,2916.67
1006,"Beef,boneless",Apr-24,April,2024,4711.65,9.34,88.79,Imo ,5582.35,Kebbi ,3746.67
1007,Bread sliced 500g,Apr-24,April,2024,1141.36,2.9,97.67,Rivers ,1725.83,Yobe ,707.95
1008,Bread unsliced 500g,Apr-24,April,2024,1092.4,3.58,103.81,Bayelsa ,1628.5,Yobe ,697.97
1009,Broken Rice (Ofada),Apr-24,April,2024,1552.18,1.73,158,Ogun ,2941.81,Zamfara ,987.28
1010,Catfish (obokun) fresh,Apr-24,April,2024,3140.53,3.19,97.63,Lagos ,4281.25,Borno ,2019.82
1011,Catfish :dried,Apr-24,April,2024,4176.47,3.17,75.48,Ebonyi ,6092.89,Kano ,2614.49
1012,Catfish Smoked,Apr-24,April,2024,3442.79,2.14,77.71,Yobe ,4668.69,Katsina ,2600
1013,Chicken Feet,Apr-24,April,2024,2660.9,9.04,138.58,Abuja ,5507.95,Bauchi ,1005.1
1014,Chicken Wings,Apr-24,April,2024,3330.3,11.29,133.1,Abuja ,5559.44,Bauchi ,2035.93
1015,Dried Fish Sardine,Apr-24,April,2024,3653.35,4.56,84.22,Nassarawa ,6155.11,Oyo ,2131.5
1016,Evaporated tinned milk carnation 170g,Apr-24,April,2024,643.11,5.24,108.35,Adamawa ,805,Kano ,535.59
1017,"Evaporated tinned milk(peak), 170g",Apr-24,April,2024,725.74,8.37,91.58,Edo ,905,Plateau ,586.04
1018,Frozen chicken,Apr-24,April,2024,4829.13,5.8,69.26,Enugu ,7007.56,Ondo ,3800
1019,"Gari white,sold loose",Apr-24,April,2024,851.81,13.59,134.98,Bayelsa ,1095.26,Benue ,494.47
1020,"Gari yellow,sold loose",Apr-24,April,2024,909.77,13.15,127.57,Abuja ,1262.51,Benue ,569.76
1021,"Groundnut oil: 1 bottle, specify bottle",Apr-24,April,2024,2231.82,3.07,69.4,Ebonyi ,2884.43,Adamawa ,1500
1022,Iced Sardine,Apr-24,April,2024,2912.03,4.46,74.42,Abia ,3919.04,Zamfara ,1969.25
1023,Irish potato,Apr-24,April,2024,1413.57,12.68,149.18,Ondo ,2000,Borno ,653.73
1024,Mackerel : frozen,Apr-24,April,2024,3224.99,8.51,94.27,Imo ,4936.38,Jigawa ,2468.61
1025,Maize grain white sold loose,Apr-24,April,2024,797.61,5.25,130.08,Delta ,1084.08,Zamfara ,559.09
1026,Maize grain yellow sold loose,Apr-24,April,2024,798.53,5.33,128.5,Bayelsa ,1157.7,Zamfara ,563.24
1027,Mudfish (aro) fresh,Apr-24,April,2024,2945.5,4.44,100.89,Cross_River ,3801.63,Borno ,1724.43
1028,Mudfish : dried,Apr-24,April,2024,3928.2,2.55,71.7,Abia ,5790.34,Plateau ,2571.31
1029,Onion bulb,Apr-24,April,2024,1018.83,8.52,128.04,Edo ,1814.15,Kano ,453.13
1030,"Palm oil: 1 bottle,specify bottle",Apr-24,April,2024,1634.05,4.35,49.59,Osun ,2403.24,Niger ,1220.19
1031,Plantain(ripe),Apr-24,April,2024,1009.05,6.51,144.68,Cross_River ,1380.87,Yobe ,560.81
1032,Plantain(unripe),Apr-24,April,2024,1000.41,7.21,168.29,Ondo ,1729.57,Yobe ,470
1033,Rice agric sold loose,Apr-24,April,2024,1487.91,7.91,135.62,Niger ,1984.18,Benue ,1078.73
1034,Rice local sold loose,Apr-24,April,2024,1399.34,4.37,155.93,Niger ,1785.47,Benue ,993.72
1035,Rice Medium Grained,Apr-24,April,2024,1535.83,6.8,151.95,Ogun ,1899.91,Kano ,1164.35
1036,"Rice,imported high quality sold loose",Apr-24,April,2024,1771.56,8.42,126.69,Kwara ,2241.07,Sokoto ,1139.16
1037,Sweet potato,Apr-24,April,2024,807.35,17.1,182.04,Delta ,1381.37,Kaduna ,387.68
1038,Tilapia fish (epiya) fresh,Apr-24,April,2024,2828.87,3.67,121.68,Lagos ,4600,Borno ,1177.43
1039,Titus:frozen,Apr-24,April,2024,3395.05,8.67,88.99,Imo ,4847.71,Nassarawa ,2573.43
1040,Tomato,Apr-24,April,2024,1123.41,17.06,131.58,Delta ,1851.19,Zamfara ,547.22
1041,"Vegetable oil:1 bottle,specify bottle",Apr-24,April,2024,2078.21,3.72,67.65,Ondo ,2835.93,Yobe ,1677
1042,Wheat flour: prepacked (golden penny 2kg),Apr-24,April,2024,2573.25,3.86,98.68,Cross_River ,3240,Borno ,1302.88
1043,Yam tuber,Apr-24,April,2024,1130.37,5.76,154.19,Cross_River ,1797.15,Bauchi ,638.64
1001,Agric eggs medium size,May-24,May,2024,1786.66,6.32,91.42,Plateau ,2132.57,Jigawa ,1563.59
1002,Agric eggs(medium size price of one),May-24,May,2024,160.31,6.27,79.78,Ekiti ,180.71,Yobe ,146.84
1003,"Beans brown,sold loose",May-24,May,2024,2009.23,44.77,219.05,Plateau ,2855,Kebbi ,1171.21
1004,Beans:white black eye. sold loose,May-24,May,2024,1847.84,40.68,208.11,Plateau ,2800,Kebbi ,1090.82
1005,Beef Bone in,May-24,May,2024,4145.09,8.46,116.46,Abuja ,5669.81,Kaduna ,3111.25
1006,"Beef,boneless",May-24,May,2024,5137.52,9.04,103.83,Imo ,6074.55,Kaduna ,4060.16
1007,Bread sliced 500g,May-24,May,2024,1308.12,14.61,119.44,Rivers ,1787.73,Yobe ,807.6
1008,Bread unsliced 500g,May-24,May,2024,1216.32,11.34,120.89,Bayelsa ,1671.53,Borno ,839.34
1009,Broken Rice (Ofada),May-24,May,2024,1738.21,11.99,184,Ogun ,2993.73,Kaduna ,1207.44
1010,Catfish (obokun) fresh,May-24,May,2024,3418.73,8.86,112.26,Lagos ,4416.49,Adamawa ,2175
1011,Catfish :dried,May-24,May,2024,4553.42,9.03,87.79,Abia ,7395.45,Katsina ,2865.66
1012,Catfish Smoked,May-24,May,2024,3604.96,4.71,83.63,Gombe ,5101.66,Sokoto ,2733.56
1013,Chicken Feet,May-24,May,2024,2907.33,9.26,156.41,Niger ,5637.78,Bauchi ,1087.85
1014,Chicken Wings,May-24,May,2024,3561.64,6.95,143.56,Niger ,5692.78,Gombe ,2110.1
1015,Dried Fish Sardine,May-24,May,2024,3945.73,8,94.74,Nasarawa ,6462.87,Ondo ,2861.47
1016,Evaporated tinned milk carnation 170g,May-24,May,2024,691.16,7.47,117.68,Gombe ,883.75,Kogi ,595.92
1017,"Evaporated tinned milk(peak), 170g",May-24,May,2024,783.98,8.03,104.06,Yobe ,996.87,Kwara ,610
1018,Frozen chicken,May-24,May,2024,5032.04,4.2,74.12,Anambra ,7180.73,Ondo ,3872.22
